question,answer
What term describes the collection of your social media posts, blogs, and online mentions that can be traced by third parties?,Digital footprint.
Why is it important for a cyber security professional to maintain a positive digital identity?,"A negative digital identity can reflect badly on their employer, and they are held to a very high standard."
What negative assumption might an employer make if a cyber security professional has no online presence at all?,That the person is not technologically knowledgeable or has something to hide.
What are some ways you can establish a positive digital identity?,"Join professional platforms like LinkedIn and share interesting content, participate in online forums and communities positively, contribute to discussions about topics you care about, and make sure your online presence shows you're knowledgeable and professional."
How might you be at risk from a negative digital identity?,"Posting controversial or inappropriate content without thinking, complaining about work on social media, having old negative posts resurface during job searches, and damaging relationships with colleagues or future employers."
Pre-employment checks or 'vetting' are a key part of _____ carried out by human resources teams.,due diligence
What is the legal obligation for UK employers regarding 'Right to work checks'?,To ensure they are not employing anyone who does not have permission to work in the UK.
"What type of check, such as a Disclosure and Barring Service (DBS) check, might an employer conduct to verify a candidate's criminal history?",Criminal record check.
Under what two conditions are UK employers permitted to ask a candidate for a health check before hiring?,"When it is a legal requirement for the job or if the job itself requires it (e.g., for insurance purposes)."
What type of pre-employment check involves verifying an applicant's association with extreme groups or individuals?,"Online and social media checks, which may include a guilt by association check."
Which UK law sets out the data protection principles that must be followed when carrying out pre-employment checks?,The Data Protection Act 2018.
What is the most likely consequence if an employer discovers an applicant has lied about their qualifications on their CV?,The job offer will be withdrawn.
Which standard pre-employment security screening is not a formal security clearance but is required for many government jobs?,Baseline Personnel Security Standard (BPSS).
What are the four main areas checked as part of a Baseline Personnel Security Standard (BPSS)?,"Identity, nationality/immigration status, employment history (past 3 years), and unspent criminal convictions."
What level of security clearance is required for roles involving proximity to public figures at risk from terrorist attack?,Counter Terrorist Check (CTC).
"A _____ is required for people who will have long-term, frequent, and uncontrolled access to 'Secret' assets.",Security Check (SC)
What does an Enhanced Security Check include in addition to the standard Security Check (SC) procedures?,"An internet questionnaire, a detailed interview by a trained Investigating Officer, and an assessment of personal finances."
"Which is the highest level of security vetting, used for posts requiring frequent access to 'Top Secret' assets?",Developed Vetting (DV).
"In addition to standard checks, a Developed Vetting (DV) includes a full review of personal finances and interviews with whom?","The applicant and their referees, conducted by a trained Investigating Officer."
