question_id,question,answer_a,answer_b,answer_c,answer_d,correct,explanation_correct
MKC001,"What does the term ""malware"" refer to?",Software designed to harm computer systems,Programming tools for software development,Physical parts inside computer hardware,Programs protecting systems from attacks,A,"That's right! Malware is short for malicious software, which is specifically designed to harm, exploit, or otherwise compromise computer systems, networks, or data."
MKC002,What is the primary goal of Cyber Security?,Making network connections run faster,Protect data confidentiality and availability,Restricting all user access to computers,Blocking every internet connection completely,B,"That's right! The primary goal of cyber security is to protect the CIA triad - Confidentiality, Integrity, and Availability of information and systems from threats and unauthorized access."
MKC003,What is the most common method used by hackers to steal sensitive information?,Sending deceptive phishing emails to users,Creating blogs and websites for information,Using VPN services to hide their location,Encrypting files to protect data from theft,A,"That's right! Phishing emails are the most common attack vector, accounting for the majority of successful data breaches as they exploit human psychology rather than technical vulnerabilities."
MKC004,What is a phishing attack?,Installing malware inside aquarium equipment,Fake emails tricking users into sharing data,Methods designed to improve network speeds,Regular antivirus software updates and scans,B,"That's right! Phishing is a social engineering attack where attackers impersonate legitimate entities to trick victims into disclosing sensitive information like passwords, credit card numbers, or personal data."
MKC005,What does DDOS stand for?,Double Denial of Service,Distributed Denial of Service,Data Denial on Servers,Domain Denial of Security,B,"That's right! DDOS stands for Distributed Denial of Service, where multiple compromised systems are used to flood a target with traffic, making it unavailable to legitimate users."
MKC006,What is ransomware?,Programs that remove viruses from computers,Malware demanding payment to unlock your data,Antivirus software protecting against threats,Tools monitoring network traffic for problems,B,"That's right! Ransomware is malicious software that encrypts a victim's files or locks their system, then demands a ransom payment (often in cryptocurrency) to restore access."
MKC007,What is the main goal of a brute-force attack?,Breaking computer hardware through physical force,Trying many password combinations until correct,Permanently deleting files from storage systems,Installing protective antivirus software programs,B,"That's right! A brute-force attack systematically tries all possible password combinations until the correct one is found, relying on computational power rather than exploiting vulnerabilities."
MKC008,What is an antivirus program?,Software that stops all system updates,A program that finds and removes malware,Hardware device for security protection,A tool for deleting temporary files,B,"That's right! Antivirus software is designed to detect, prevent, and remove malicious software by scanning files, monitoring system behavior, and maintaining databases of known threats."
MKC009,What is the role of a firewall?,Cooling down computers when they overheat,Blocking unauthorised access to networks,Storing backup copies of important data,Encrypting all sensitive information,B,"That's right! A firewall acts as a barrier between trusted internal networks and untrusted external networks, filtering traffic based on predetermined security rules to block unauthorized access."
MKC010,Which of these is a strong password?,Password123,A1B2C3D4E5,@8G$rXl1@Q2,UserPassworD,C,"That's right! @8G$rXl1@Q2 is a strong password because it combines uppercase and lowercase letters, numbers, and special characters in a non-predictable pattern, making it resistant to brute-force attacks."
MKC011,What does encryption do?,Making file transfers happen much faster,Converting data into unreadable coded format,Permanently deleting sensitive files from systems,Storing all data securely in cloud services,B,"That's right! Encryption converts data into an unreadable format (ciphertext) using algorithms and keys, ensuring only authorized parties with the correct decryption key can access the original information."
MKC012,What is two-factor authentication (2FA)?,A method for encrypting data twice,Security requiring two forms of ID,A way to boost internet speeds,Backup recovery procedures,B,That's right! Two-factor authentication adds an extra layer of security by requiring two different forms of verification - typically something you know (password) and something you have (phone code) or are (biometric).
MKC013,"What does the principle of ""least privilege"" mean?",Giving every user maximum system access,Users get only required access for their role,Blocking access completely for all users,Sharing passwords among all team members,B,"That's right! The principle of least privilege means users should only have the minimum access rights necessary to perform their job functions, reducing the potential impact of compromised accounts or insider threats."
MKC014,What should you do if you receive a suspicious email?,Open attachments to verify what they contain,Delete it immediately without opening anything,Reply asking them to clarify their identity,Forward it to friends so they can check it,B,"That's right! Suspicious emails should be deleted immediately without opening attachments or clicking links, as they may contain malware or be phishing attempts designed to compromise your system or steal information."
MKC015,What is a secure way to access a public Wi-Fi network?,Use a VPN,Disable antivirus,Turn off security,Visit HTTP sites,A,"That's right! A VPN creates an encrypted tunnel for your internet traffic, protecting your data from interception on unsecured public Wi-Fi networks where attackers may be monitoring communications."
MKC016,What is the role of an ethical hacker?,Creating malware specifically for testing systems,Finding security flaws with proper permission,Monitoring internet speeds for organizations,Blocking legitimate traffic on networks,B,"That's right! Ethical hackers, also known as penetration testers or white hat hackers, are authorized security professionals who use hacking techniques to identify and report vulnerabilities before malicious actors can exploit them."
MKC017,What is a security breach?,Unauthorised access to sensitive information,Upgrading firewall settings for protection,Changing all user passwords regularly,Installing new antivirus software,A,"That's right! A security breach occurs when unauthorized individuals gain access to systems, networks, or data, potentially resulting in theft, exposure, or compromise of sensitive information."
MKC018,What is a cybersecurity incident?,An event affecting data security,Routine system updates,Forgotten passwords,Slow connections,A,"That's right! A cybersecurity incident is any event that compromises the CIA triad - affecting confidentiality (data exposure), integrity (data alteration), or availability (system disruption) of information or systems."
MKC019,What is social engineering?,Building professional networks between people,Manipulating people to reveal information,Designing secure software applications,Training employees on security procedures,B,"That's right! Social engineering is a manipulation technique that exploits human psychology to trick people into revealing confidential information, making security mistakes, or granting unauthorized access to systems or facilities."
MKC020,What is a backup in cybersecurity?,Duplicate copy of data,Extra computer,Second internet,Additional firewall,A,"That's right! A backup is a duplicate copy of data stored separately from the original, providing recovery options in case of data loss, corruption, ransomware attacks, or system failures."
MKC021,What does the term zero-day vulnerability refer to?,Security flaw that was fixed yesterday,Unknown flaw with no available patch,Vulnerability discovered many years ago,Flaw found only in outdated software,B,"That's right! A zero-day vulnerability is a previously unknown security flaw that has no available patch or fix, leaving systems vulnerable until the software vendor develops and releases an update."
