question,answer,,
What is a CSIRT?,"Computer Security Incident Response Team - a team formed during the preparation phase to handle security incidents, with clearly defined roles and responsibilities.",,
When is a CSIRT typically formed?,"During the preparation phase, after the security policy is reviewed, risk assessment is carried out, and sensitive assets are identified.",,
What is a triage system in incident response?,"A prioritisation system (often like a traffic light system) used to categorise each incident and determine how serious it is, which then dictates the response required.",,
Why is a triage system important in an incident response plan?,Because not all incidents are equal - a minor incident affecting few staff needs a different response than a major incident that shuts down the entire organisation or loses customer data.,,
What is a cyber security incident response plan?,"A set of instructions used to help IT staff detect, respond to, and recover from network security incidents.", respond to, and recover from network security incidents - your emergency playbook for when things go wrong.
What is the primary goal of having an incident response plan in place during a security breach?,To minimise damage and enable the organisation to recover more quickly - limiting the impact and getting back to normal operations.,,
"Besides IT, which other organisational departments might an incident response plan typically involve?","Departments such as HR, finance, customer service, legal, public relations, and communications - cyber security incidents affect the whole organisation.",,
"According to the source, what is the average amount of time a threat goes undetected in a network?","An average of 175 days - that's nearly six months for attackers to move around unnoticed, which is why detection is so critical.",,
"Under GDPR and NIS Regulations, within what timeframe must organisations report data breaches or incidents?","Within 72 hours of discovery - the clock starts ticking as soon as you know about the breach, not when it actually happened.",,
How can an incident response plan help protect an organisation's reputation?,"By handling any breach quickly and professionally, it can boost confidence that the organisation is prepared to manage issues effectively.",,
What are the four main phases of the NIST incident response lifecycle?,"Preparation; Detection and analysis; Containment, eradication and recovery; and Post-event activity/recovery and follow up.",,
"In the NIST lifecycle, what does the 'Preparation' phase involve?","Establishing tools and resources, training the team, and documenting roles, responsibilities, and security policies - getting ready before an incident happens.",,
What key activities occur during the 'Detection and analysis' phase of the NIST lifecycle?,"Monitoring, detecting, alerting, and reporting on security events to determine the incident's severity, type, and danger - figuring out what's actually happening.",,
"The 'Containment, eradication and recovery' phase of the NIST lifecycle focuses on what primary objective?",Keeping the impact of the breach as small as possible and mitigating service disruptions - stopping the bleeding and fixing the problem.,,
What is the purpose of the 'Post-event activity' phase in the NIST lifecycle?,To analyse the attack and response in order to find ways to prevent and recover from future attacks more efficiently - learning from what happened.,,
How many steps are in the SANS Institute's Incident Response Lifecycle?,There are six steps - a more detailed breakdown than the NIST model.,,
What is the first step in the SANS Incident Response Lifecycle?,"Preparation, which includes reviewing security policy, conducting a risk assessment, and forming a CSIRT (Computer Security Incident Response Team). Getting systems, tools, and staff ready to respond to incidents.",,
"In the SANS lifecycle, the _____ step involves tracking and identifying differences from standard activities to spot security incidents.",Identification,,
What does the 'Containment' step of the SANS lifecycle include?,"Both short-term containment, like isolating a network segment to stop the spread, and long-term containment strategies for ongoing protection.",,
