question,answer,,
What is the primary goal of the General Data Protection Regulation (GDPR)?,"A Europe-wide regulation designed to strengthen data protection for individuals, giving people more control over their personal information.",,
"The UK's version of the GDPR, brought into domestic law post-Brexit, is known as the _____.",UK GDPR,,
What date did the GDPR come into effect?,25 May 2018 - marking a major shift in data protection law across Europe.,,
What types of data storage does the GDPR cover?,"Data stored on servers, databases, websites, and even on paper - it's not just about digital data.",,
"Under GDPR, what two types of protective measures are organisations required to put in place?","Technical measures (like firewalls, encryption, and access controls) and organisational measures (like policies, procedures, and staff training).",,
What is the role of the Data Protection Act 2018 (DPA) in relation to the GDPR?,"The DPA 2018 works alongside the GDPR to safeguard all personal or sensitive information held about an individual, providing the UK-specific implementation details.",,
"According to the DPA, data must not be kept longer than is necessary, meaning it would be wrong to keep information about past customers for more than a _____ at most.",reasonable period,,
What specific offence is described in section 170 of the Data Protection Act 2018?,"Knowingly or recklessly obtaining or disclosing personal data without consent - basically, deliberately accessing or sharing data you shouldn't.",,
How does the Directive on security of network and information systems (NIS) differ from GDPR?,"While GDPR focuses on protecting personal data, the NIS is concerned with protecting the information systems themselves - the infrastructure and networks.",,
"Under the NIS regulations, what is the maximum fine for non-compliance?",Up to £17 million - a serious penalty for failing to meet the requirements.,,
What government body is responsible for publishing NIS compliance guidance in the UK?,The National Cyber Security Centre (NCSC) - the UK's technical authority on cyber security.,,
What does the Computer Misuse Act (1990) make illegal?,"Accessing or modifying data stored on a computer system without appropriate consent or permission - essentially, hacking and related activities.",,
"Under the Computer Misuse Act, what does the offence of 'unauthorised access to computer material' refer to?","Entering a computer system without permission, also known as hacking - even just logging in without authorisation.",,
What does the offence of 'unauthorised modification of data' under the Computer Misuse Act cover?,"Modifying or deleting data, as well as introducing malware or spyware onto a computer - basically, changing things you shouldn't.",,
What is the lowest level of penalty under the Computer Misuse Act for unauthorised access to a computer?,"Up to two years in prison and a £5,000 fine - even 'basic' hacking is taken seriously.",,
"If unauthorised access under the Computer Misuse Act causes harm to human welfare or national security, what is the maximum penalty?",Up to life imprisonment - the most serious cyber crimes carry the same penalties as major physical crimes.,,
What is the primary purpose of the Official Secrets Acts (1989)?,"Legal protection against espionage and the leaking of sensitive government information, safeguarding national security.",,
What category of protected information under the Official Secrets Acts makes it a criminal offence to release information that damages the armed forces?,Defence - protecting information about military capabilities and operations.,,
What category of protected information under the Official Secrets Acts makes it an offence to release information that endangers UK interests or citizens abroad?,International relations - protecting diplomatic and foreign affairs information.,,
"What does the 'piggybacking' ban, introduced by the Communications Act 2003, make illegal?","Accessing and using Wi-Fi that you didn't pay for, unless it's been made publicly available - like using your neighbour's Wi-Fi without permission.",,
"Section 127 of the Communications Act 2003 categorises social media as a public electronic communications network, allowing users to be punished for what?","Sending or posting grossly offensive, indecent, obscene, or menacing content - making online harassment and threats punishable.",,
What is the primary aim of the Police and Criminal Evidence Act 1984 (PACE)?,To balance the powers of the police with the rights and freedoms of the public in England and Wales - ensuring fair law enforcement.,,
"Under Section 69 of PACE, what must be shown for a statement produced by a computer to be admissible as evidence in court?",That the computer was operating properly and the statement isn't inaccurate due to improper use - ensuring digital evidence is reliable.,,
The _____ expanded the categories of cyber crime by making ownership of any hacking software or exploit tools illegal.,Police and Justice Act (2006),,
Which act makes it an offence to intentionally intercept a communication in the UK without lawful authority?,"The Investigatory Powers Act 2016 - protecting communications privacy, though law enforcement can obtain warrants.",,
What do the Privacy and Electronic Communications Regulations (PECR) give people specific rights over?,"Electronic communications privacy, such as controlling marketing calls, emails, texts, and website cookies.",,
What is the main challenge in creating international law for cyberspace?,Crafting binding laws that apply internationally without violating the sovereignty of individual states - balancing global cooperation with national independence.,,
What is the key question regarding Article 2.4 of the UN Charter in the context of cyberspace?,"Whether hacking into foreign networks constitutes a 'use of force' forbidden by the charter - essentially, can cyber attacks be acts of war?",,
The UN-General Assembly sub-groups discussing international cyberspace laws are the Group of Governmental Experts (GGE) and the _____.,Open-Ended Working Group (OEWG),,
What is the Cybersecurity Tech Accord?,"An agreement among global technology companies to collaborate on improving the security, stability, and resilience of cyberspace - tech companies working together.",,
