question_id,unit,question,answer_a,answer_b,answer_c,answer_d,correct,explanation_correct,hint
U4Q001,4,"What is a cyber security incident response plan?","Instructions to detect, respond, recover","Comprehensive marketing and business development strategy","Detailed sales forecasting and customer acquisition plan","Annual vacation scheduling and employee leave management system",A,"That's right! An incident response plan is a documented set of procedures and instructions that guide IT staff and other teams in detecting, responding to, and recovering from network security incidents effectively.","Think about planned responses to security emergencies."
U4Q002,4,"What is the primary goal of an incident response plan?","Increase operational costs and complexity across organization","Minimize damage and enable quick recovery","Slow down all business operations and decision making","Complicate existing processes and create additional bureaucracy",B,"That's right! The primary goal is to minimize damage from security breaches and enable the organization to recover more quickly, reducing financial losses, reputational damage, and operational disruption.","Consider the purpose of emergency planning."
U4Q003,4,"Besides IT, what departments might an incident response plan involve?","Only IT department handles everything","Just senior management makes all decisions","HR, finance, legal, PR, communications","No other departments need involvement at all",C,"That's right! Effective incident response plans involve multiple departments including HR, finance, customer service, legal, public relations, and communications to address all aspects of a security incident.","Think about organization-wide impact of breaches."
U4Q004,4,"What is the average time a threat goes undetected in networks?","One day maximum","One hour typically","One full year","Average of 175 days",D,"That's right! Research shows that on average, threats remain undetected in networks for approximately 175 days, during which attackers can steal data and establish deeper access.","Consider the dwell time of undetected threats."
U4Q005,4,"Under GDPR and NIS, when must organizations report incidents?","Within 72 hours of discovery","Never any legal requirement","Within one full year","No specific deadline",A,"That's right! Under GDPR and NIS Regulations, organizations must report data breaches or significant security incidents within 72 hours of discovering them, with penalties for late reporting.","Think about mandatory reporting timelines."
U4Q006,4,"How can an incident response plan protect organizational reputation?","It cannot protect reputation","Quick handling boosts stakeholder confidence","It always damages reputation","It's completely irrelevant",B,"That's right! Handling breaches quickly and effectively through a solid incident response plan demonstrates preparedness and competence, actually boosting stakeholder confidence in the organization's security management.","Consider how good crisis management affects trust."
U4Q007,4,"What are the four main phases of the NIST incident response lifecycle?","Four completely random phases","One single continuous phase","Preparation; Detection; Containment; Post-event","No specific phases exist",C,"That's right! The NIST lifecycle consists of four distinct phases: Preparation; Detection and analysis; Containment, eradication and recovery; and Post-event activity/recovery and follow up.","Think about the NIST structured approach."
U4Q008,4,"What does the NIST Preparation phase involve?","Responding to active ongoing attacks","Deleting unnecessary files","Ignoring all security concerns","Establishing tools, training, documenting",D,"That's right! The Preparation phase involves establishing security tools and resources, training the response team, and documenting roles, responsibilities, and security policies before incidents occur.","Consider getting ready before incidents happen."
U4Q009,4,"What happens during NIST's Detection and analysis phase?","Monitoring, detecting, alerting, reporting","Installing new software applications","Deleting compromised systems immediately","Ignoring all security alerts",A,"That's right! This phase focuses on monitoring systems, detecting anomalies, generating alerts, and reporting on security events to determine incident severity, type, and potential danger.","Think about identifying and understanding threats."
U4Q010,4,"What is the focus of NIST's Containment, eradication and recovery phase?","Ignoring all security breaches","Keeping impact small, mitigating disruptions","Increasing overall damage and spreading breach further","Spreading breach to additional systems",B,"That's right! This phase focuses on limiting the breach's impact, removing threats completely, and recovering systems while minimizing service disruptions to the business.","Consider limiting and cleaning up the damage."
U4Q011,4,"What is the purpose of NIST's Post-event activity phase?","Celebrate successful completion","Ignore all valuable lessons","Repeat same mistakes","Analyze attack to improve future response",D,"That's right! The post-event phase analyzes both the attack and the organization's response to identify improvements, lessons learned, and ways to prevent similar incidents or recover more efficiently in the future.","Think about learning from incidents."
U4Q012,4,"How many steps are in the SANS Incident Response Lifecycle?","Four steps","Ten steps","Six steps","Two steps",C,"That's right! The SANS Institute's Incident Response Lifecycle consists of six distinct steps, providing a detailed framework for managing security incidents from preparation through lessons learned.","Remember SANS has more detailed steps than NIST."
U4Q013,4,"What is the first step in SANS Incident Response?","Identification of threats","Containment procedures","Recovery operations","Preparation - policy, risk, CSIRT",D,"That's right! The SANS lifecycle begins with Preparation, which includes reviewing security policies, conducting risk assessments, and forming a Computer Security Incident Response Team (CSIRT).","Consider foundational planning before incidents."
U4Q014,4,"What does the SANS Identification step involve?","Tracking and identifying deviations","Ignoring all security alerts","Deleting system logs immediately","Avoiding monitoring systems",A,"That's right! The Identification step involves continuously tracking system activities and identifying deviations from normal patterns that might indicate security incidents.","Think about spotting unusual activity."
U4Q015,4,"What does SANS Containment include?","Only long-term fixes","Short-term and long-term strategies","Only short-term fixes","Ignoring incidents",B,"That's right! SANS Containment includes both short-term actions like immediately isolating affected network segments and long-term containment strategies for ongoing incident management.","Consider immediate and sustained containment."
U4Q016,4,"What is the goal of the SANS Eradication step?","Ignore all malware","Spread infection further","Remove malware and identify root cause","Accept the breach",C,"That's right! Eradication focuses on completely removing malware from all infected devices and systems while identifying the root cause of the attack to prevent recurrence.","Think about eliminating threats completely."
U4Q017,4,"What happens during SANS Recovery phase?","Delete everything permanently","Leave systems offline indefinitely","Ignore all testing requirements","Restore systems and test thoroughly",D,"That's right! During Recovery, affected systems are carefully brought back online and thoroughly tested to ensure they're clean and no further breaches or backdoors remain.","Consider safely restoring operations."
U4Q018,4,"What is the final SANS step?","Lessons learned - post-mortem, update plan","Finish and forget","Ignore the incident","Start completely over",A,"That's right! The Lessons Learned step involves conducting a comprehensive post-mortem analysis and updating the incident response plan based on insights gained from the incident.","Think about continuous improvement."
U4Q019,4,"What should a good incident response plan include?","Only contact phone numbers","Clear roles, communication, recovery processes","Just one person's contact name","Random unorganized notes",B,"That's right! Effective plans include clearly defined roles and responsibilities, communication procedures, escalation processes, technical response steps, and recovery procedures.","Consider comprehensive planning elements."
U4Q020,4,"Why should incident response plans be tested regularly?","They should never be tested","To ensure effectiveness and identify gaps","To waste organizational time","To complicate everything",B,"That's right! Regular testing through tabletop exercises and simulations ensures the plan works effectively, identifies gaps or weaknesses, and keeps the team prepared for real incidents.","Think about practicing before emergencies."
U4Q021,4,"What is the first priority during incident containment?","Delete everything immediately","Spread the issue everywhere","Limit damage and prevent further compromise","Ignore the problem completely",C,"That's right! The first priority in containment is to limit the damage and prevent the incident from spreading or causing additional compromise while maintaining evidence for investigation.","Consider stopping the bleeding first."
U4Q022,4,"What is network segmentation useful for during incidents?","Nothing at all","Slowing down network performance significantly","Complicating network architecture unnecessarily","Isolating affected areas from rest of network",D,"That's right! Network segmentation allows security teams to quickly isolate compromised segments or devices from the rest of the network, preventing lateral movement by attackers.","Think about creating isolation boundaries."
U4Q023,4,"What should be preserved during incident response?","Nothing needs preservation","Only basic system configuration files","Evidence: logs, files, memory dumps","Only personal files",C,"That's right! Critical evidence including system logs, affected files, memory dumps, network traffic captures, and forensic images must be preserved for investigation and potential legal proceedings.","Consider forensic evidence preservation."
U4Q024,4,"Why is communication important during incident response?","Communication isn't important at all","It's completely optional","Keeps stakeholders informed of status","To create confusion",C,"That's right! Clear communication keeps stakeholders informed about the incident status, response actions, expected impact, and recovery timelines, maintaining trust and enabling coordinated response.","Think about managing expectations and coordination."
U4Q025,4,"What is the purpose of incident escalation procedures?","To delay response times","Ensure right people notified by severity","To complicate things unnecessarily","To hide incidents",B,"That's right! Escalation procedures ensure that the appropriate people, including senior management, legal teams, or external authorities, are notified based on the incident's severity and type.","Consider getting the right help quickly."
